"","...1","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network","Treatment1","Treatment2","Treatment3"
"139","Bac45",0.677685950413223,1.8298126367785,"Connector","Bac45","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Pseudonocardiaceae","PseudonocardiaceaeFA","_","Bac45","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac","Drought period","Drought","Drought"
"168","Bac177",0.375,2.85202106928053,"Module hub","Bac177","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Balneimonas","_","Bac177","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac","Drought period","Drought","Drought"
"173","Bac372",0.625,-0.7319250547114,"Connector","Bac372","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Solirubrobacterales","SolirubrobacteralesOR","SolirubrobacteralesOR","_","Bac372","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac","Drought period","Drought","Drought"
"193","Bac201",0.625,-0.3659625273557,"Connector","Bac201","Prokaryote","Bacteria","Acidobacteria","AcidobacteriaPH","Acidobacteriales","AcidobacterialesOR","AcidobacterialesOR","_","Bac201","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac","Drought period","Drought","Drought"
"195","Bac235",0.666666666666667,-0.82915619758885,"Connector","Bac235","Prokaryote","Bacteria","Chloroflexi","Thermomicrobia","ThermomicrobiaCL","ThermomicrobiaCL","ThermomicrobiaCL","_","Bac235","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac","Drought period","Drought","Drought"
"215","Bac950",0.625,0,"Connector","Bac950","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Solirubrobacterales","SolirubrobacteralesOR","SolirubrobacteralesOR","_","Bac950","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac","Drought period","Drought","Drought"
"226","Bac25",0,3.25402961662192,"Module hub","Bac25","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","Kribbella","_","Bac25","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"233","Bac61",0,3.25402961662192,"Module hub","Bac61","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","NocardioidaceaeFA","_","Bac61","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"358","Bac3",0,2.54663033884723,"Module hub","Bac3","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac3","Actinobacteria","Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"359","Bac7",0,2.66835606573553,"Module hub","Bac7","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac7","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"369","Bac21",0.0978980228928199,2.69331174288018,"Module hub","Bac21","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","_","Bac21","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"371","Bac17",0,3.5204361539536,"Module hub","Bac17","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac17","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"372","Bac25",0,2.66835606573553,"Module hub","Bac25","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","Kribbella","_","Bac25","Actinobacteria","Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"373","Bac27",1.11022302462516e-16,2.72921892917967,"Module hub","Bac27","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Glycomycetaceae","Glycomyces","_","Bac27","Actinobacteria","Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"375","Bac28",0,2.66835606573553,"Module hub","Bac28","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac28","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"377","Bac32",0,2.54663033884723,"Module hub","Bac32","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac32","Actinobacteria","Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"379","Bac35",1.11022302462516e-16,2.91180751951212,"Module hub","Bac35","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","NocardioidaceaeFA","_","Bac35","Actinobacteria","Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"396","Bac58",0,2.66835606573553,"Module hub","Bac58","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac58","Actinobacteria","Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"398","Bac20",0.625,-0.99973326543198,"Connector","Bac20","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac20","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"408","Bac76",0,2.54663033884723,"Module hub","Bac76","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac76","Actinobacteria","Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"432","Bac101",0.027391975308642,2.56404081868577,"Module hub","Bac101","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis","_","Bac101","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"463","Bac132",1.11022302462516e-16,2.72921892917967,"Module hub","Bac132","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac132","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"470","Bac144",0,2.66835606573553,"Module hub","Bac144","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Mycobacteriaceae","Mycobacterium","_","Bac144","Actinobacteria","Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"501","Bac187",0.1128,2.76670368805594,"Module hub","Bac187","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Flavisolibacter","_","Bac187","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"505","Bac198",0.120707596253902,3.66737339432479,"Module hub","Bac198","Prokaryote","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Flavobacterium","_","Bac198","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"525","Bac175",0.64,0.730296743340221,"Connector","Bac175","Prokaryote","Bacteria","Acidobacteria","AcidobacteriaPH","AcidobacteriaPH","Koribacteraceae","KoribacteraceaeFA","_","Bac175","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"552","Bac272",0,2.69331174288018,"Module hub","Bac272","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","BdellovibrionaceaeFA","_","Bac272","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"591","Bac325",0,2.6674575580413,"Module hub","Bac325","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","AlphaproteobacteriaCL","AlphaproteobacteriaCL","AlphaproteobacteriaCL","_","Bac325","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"593","Bac331",0.0122694711172077,3.05527033062453,"Module hub","Bac331","Prokaryote","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Luteolibacter","_","Bac331","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"609","Bac359",0,3.02941614578565,"Module hub","Bac359","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","BdellovibrionaceaeFA","_","Bac359","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"641","Bac415",0.473372781065089,2.70416345659799,"Module hub","Bac415","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","_","Bac415","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"660","Bac447",1.11022302462516e-16,3.3987104270653,"Module hub","Bac447","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","_","Bac447","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"771","Bac624",1.11022302462516e-16,3.3987104270653,"Module hub","Bac624","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","_","Bac624","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"782","Bac706",0.0374863077609641,2.87429103675235,"Module hub","Bac706","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","AlphaproteobacteriaCL","AlphaproteobacteriaCL","AlphaproteobacteriaCL","_","Bac706","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"890","Bac978",0,3.276984700177,"Module hub","Bac978","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","ThermoactinomycetaceaeFA","_","Bac978","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"920","Bac1144",0.308390022675737,3.09421994488098,"Module hub","Bac1144","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Flavisolibacter","_","Bac1144","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"1245","Bac3",0,2.84548404180695,"Module hub","Bac3","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac3","Actinobacteria","Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1260","Bac30",0.473372781065089,3.22702064435435,"Module hub","Bac30","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","SinobacteraceaeFA","_","Bac30","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1268","Bac27",0,3.04583210945083,"Module hub","Bac27","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Glycomycetaceae","Glycomyces","_","Bac27","Actinobacteria","Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1280","Bac73",0,3.94739841384828,"Module hub","Bac73","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Cytophaga","_","Bac73","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1281","Bac67",0.498046875,3.1462526112268,"Module hub","Bac67","Prokaryote","Bacteria","Acidobacteria","AcidobacteriaPH","Acidobacteriales","AcidobacterialesOR","AcidobacterialesOR","_","Bac67","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1285","Bac77",0.499314128943759,2.57317503911876,"Module hub","Bac77","Prokaryote","Bacteria","Gemmatimonadetes","GemmatimonadetesPH","Gemmatimonadales","Gemmatimonadaceae","GemmatimonadaceaeFA","_","Bac77","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1291","Bac81",0,2.64513597416308,"Module hub","Bac81","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","_","_","Bac81","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1300","Bac106",0.495867768595041,3.1462526112268,"Module hub","Bac106","Prokaryote","Bacteria","Acidobacteria","AcidobacteriaPH","Acidobacteriales","AcidobacterialesOR","AcidobacterialesOR","_","Bac106","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1325","Bac155",0,2.64513597416308,"Module hub","Bac155","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardiaceae","NocardiaceaeFA","_","Bac155","Actinobacteria","Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1337","Bac187",0,3.44652824473858,"Module hub","Bac187","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Flavisolibacter","_","Bac187","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1339","Bac180",0.444444444444444,2.57317503911876,"Module hub","Bac180","Prokaryote","Bacteria","Gemmatimonadetes","GemmatimonadetesPH","Gemmatimonadales","Gemmatimonadaceae","GemmatimonadaceaeFA","_","Bac180","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1346","Bac195",0.0555102040816327,2.54496194034114,"Module hub","Bac195","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Adhaeribacter","_","Bac195","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1361","Bac140",0.64,-0.387837923418105,"Connector","Bac140","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Cellvibrio","_","Bac140","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1376","Bac242",0,2.64513597416308,"Module hub","Bac242","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","ActinobacteriaPH","ActinobacteriaPH","ActinobacteriaPH","_","Bac242","Actinobacteria","Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1385","Bac213",0,3.34635421091664,"Module hub","Bac213","Prokaryote","Bacteria","TM7","TM7PH","TM7PH","TM7PH","TM7PH","_","Bac213","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1396","Bac285",0,3.44652824473858,"Module hub","Bac285","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Flavisolibacter","_","Bac285","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1461","Bac531",0,3.64687631238246,"Module hub","Bac531","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","FlexibacteraceaeFA","_","Bac531","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1500","Bac671",0.0665873959571939,2.64266145306012,"Module hub","Bac671","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","RhodospirillaceaeFA","_","Bac671","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1537","Bac847",0.459183673469388,3.04729796971368,"Module hub","Bac847","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flammeovirgaceae","FlammeovirgaceaeFA","_","Bac847","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1550","Bac1007",0.665289256198347,0.85394232279465,"Connector","Bac1007","Prokaryote","Bacteria","Chlorobi","SM1B09","SM1B09CL","SM1B09CL","SM1B09CL","_","Bac1007","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1563","Bac1109",0,2.6098636149231,"Module hub","Bac1109","Prokaryote","Bacteria","Chloroflexi","Anaerolineae","envOPS12","envOPS12OR","envOPS12OR","_","Bac1109","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1901","Bac2763",0.625,-0.817229910059579,"Connector","Bac2763","Prokaryote","Bacteria","Cyanobacteria","Chloroplast","Stramenopiles","StramenopilesOR","StramenopilesOR","_","Bac2763","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"1938","Bac23",0.152777777777778,2.79214903590358,"Module hub","Bac23","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter","_","Bac23","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"Bac-Bac","Drought period","Drought","Drought"
"1946","Bac43",0.260355029585799,2.79214903590358,"Module hub","Bac43","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac43","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"Bac-Bac","Drought period","Drought","Drought"
"1954","Bac70",0.144970414201184,3.10679174654042,"Module hub","Bac70","Prokaryote","Bacteria","Acidobacteria","Chloracidobacteria","ChloracidobacteriaCL","ChloracidobacteriaCL","ChloracidobacteriaCL","_","Bac70","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"Bac-Bac","Drought period","Drought","Drought"
"2115","Bac336",0.625,1.15470053837925,"Connector","Bac336","Prokaryote","Bacteria","Acidobacteria","Chloracidobacteria","ChloracidobacteriaCL","ChloracidobacteriaCL","ChloracidobacteriaCL","_","Bac336","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"Bac-Bac","Drought period","Drought","Drought"
"2255","Bac3",0,2.72868871207038,"Module hub","Bac3","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac3","Actinobacteria","Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"2270","Bac26",0.486851716581446,2.70960163311763,"Module hub","Bac26","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","RhodospirillaceaeFA","_","Bac26","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"2322","Bac99",0.367309458218549,3.4831715653675,"Module hub","Bac99","Prokaryote","Bacteria","Gemmatimonadetes","GemmatimonadetesPH","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","_","Bac99","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"2417","Bac241",0.482853223593964,2.82599218206413,"Module hub","Bac241","Prokaryote","Bacteria","Gemmatimonadetes","GemmatimonadetesPH","GemmatimonadetesPH","GemmatimonadetesPH","GemmatimonadetesPH","_","Bac241","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"2477","Bac428",0.421289437585734,3.64072602468965,"Module hub","Bac428","Prokaryote","Bacteria","Bacteroidetes","_","_","_","_","_","Bac428","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"2510","Bac518",0.433195153061225,2.82599218206413,"Module hub","Bac518","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Sphingobacteriaceae","SphingobacteriaceaeFA","_","Bac518","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"2524","Bac567",0.356949702541914,2.94238273101063,"Module hub","Bac567","Prokaryote","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","VerrucomicrobialesOR","VerrucomicrobialesOR","_","Bac567","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"2529","Bac263",0.625,-0.665724286330952,"Connector","Bac263","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Flavisolibacter","_","Bac263","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"2663","Bac980",0.498367346938775,2.94238273101063,"Module hub","Bac980","Prokaryote","Bacteria","Gemmatimonadetes","GemmatimonadetesPH","GemmatimonadetesPH","GemmatimonadetesPH","GemmatimonadetesPH","_","Bac980","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"2717","Bac1268",0.435742257030972,3.29155437785014,"Module hub","Bac1268","Prokaryote","Bacteria","Gemmatimonadetes","GemmatimonadetesPH","GemmatimonadetesPH","GemmatimonadetesPH","GemmatimonadetesPH","_","Bac1268","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
