"","...1","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network","Treatment1","Treatment2","Treatment3"
"2950","Bac1880",0.666666666666667,-0.809812996990203,"Connector","Bac1880","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","BacteriovoracaceaeFA","_","Bac1880","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"3017","Bac3",0,2.86869482335694,"Module hub","Bac3","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac3","Actinobacteria","Actinobacteria","Root","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"3032","Bac17",0,2.81834066900079,"Module hub","Bac17","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac17","Non-Actinobacteria","Non-Actinobacteria","Root","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"3034","Bac25",0,3.22117390385003,"Module hub","Bac25","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","Kribbella","_","Bac25","Actinobacteria","Actinobacteria","Root","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"3041","Bac32",0,2.86869482335694,"Module hub","Bac32","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac32","Actinobacteria","Actinobacteria","Root","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"3043","Bac35",0,2.76798651464463,"Module hub","Bac35","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","NocardioidaceaeFA","_","Bac35","Actinobacteria","Actinobacteria","Root","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"3058","Bac45",0,3.01975728642541,"Module hub","Bac45","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Pseudonocardiaceae","PseudonocardiaceaeFA","_","Bac45","Actinobacteria","Actinobacteria","Root","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"3060","Bac58",0,3.12046559513772,"Module hub","Bac58","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac58","Actinobacteria","Actinobacteria","Root","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"3072","Bac61",0,3.07011144078156,"Module hub","Bac61","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","NocardioidaceaeFA","_","Bac61","Actinobacteria","Actinobacteria","Root","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"3078","Bac76",0,3.4729446756308,"Module hub","Bac76","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac76","Actinobacteria","Actinobacteria","Root","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"3090","Bac92",0.666666666666667,-0.494032181755571,"Connector","Bac92","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","SinobacteraceaeFA","_","Bac92","Non-Actinobacteria","Non-Actinobacteria","Root","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"3117","Bac128",0,2.71763236028848,"Module hub","Bac128","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Intrasporangiaceae","IntrasporangiaceaeFA","_","Bac128","Actinobacteria","Actinobacteria","Root","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"3145","Bac153",0.625,0.123508045438893,"Connector","Bac153","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodoplanes","_","Bac153","Non-Actinobacteria","Non-Actinobacteria","Root","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"3186","Bac211",1.11022302462516e-16,2.56656989722001,"Module hub","Bac211","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Rubrobacterales","Rubrobacteraceae","RubrobacteraceaeFA","_","Bac211","Actinobacteria","Actinobacteria","Root","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"3298","Bac394",0,3.17081974949387,"Module hub","Bac394","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Shimazuella","_","Bac394","Non-Actinobacteria","Non-Actinobacteria","Root","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"3634","Bac27",0,2.58853711712496,"Module hub","Bac27","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Glycomycetaceae","Glycomyces","_","Bac27","Actinobacteria","Actinobacteria","Root","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"3654","Bac81",0,2.51118403629898,"Module hub","Bac81","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","_","_","Bac81","Non-Actinobacteria","Non-Actinobacteria","Root","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"3734","Bac488",0.0253122945430637,2.54625881604406,"Module hub","Bac488","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Cytophaga","_","Bac488","Non-Actinobacteria","Non-Actinobacteria","Root","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"3747","Bac532",0.0246875,2.63869725491035,"Module hub","Bac532","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Sphingobacteriaceae","SphingobacteriaceaeFA","_","Bac532","Non-Actinobacteria","Non-Actinobacteria","Root","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"3788","Bac703",0.0240928019036287,2.73113569377663,"Module hub","Bac703","Prokaryote","Bacteria","Verrucomicrobia","Spartobacteria","Spartobacteriales","Spartobacteriaceae","SpartobacteriaceaeFA","_","Bac703","Non-Actinobacteria","Non-Actinobacteria","Root","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"3790","Bac714",0,2.63869725491035,"Module hub","Bac714","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","_","_","_","_","Bac714","Non-Actinobacteria","Non-Actinobacteria","Root","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"3842","Bac1276",0.0235260770975056,2.82357413264292,"Module hub","Bac1276","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","AlphaproteobacteriaCL","AlphaproteobacteriaCL","AlphaproteobacteriaCL","_","Bac1276","Non-Actinobacteria","Non-Actinobacteria","Root","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"3854","Bac1460",0.0217365052529888,3.14710866867492,"Module hub","Bac1460","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","AlphaproteobacteriaCL","AlphaproteobacteriaCL","AlphaproteobacteriaCL","_","Bac1460","Non-Actinobacteria","Non-Actinobacteria","Root","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"4059","Bac20",0.0713305898491085,3.25019487307529,"Module hub","Bac20","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac20","Non-Actinobacteria","Non-Actinobacteria","Root","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"4191","Bac312",0,2.51777425855926,"Module hub","Bac312","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","_","Bac312","Non-Actinobacteria","Non-Actinobacteria","Root","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"4546","Bac7",0,3.29652687409601,"Module hub","Bac7","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac7","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"4547","Bac12",0,2.75660922931164,"Module hub","Bac12","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Micrococcaceae","Arthrobacter","_","Bac12","Actinobacteria","Actinobacteria","Soil","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"4556","Bac17",0,2.9365817775731,"Module hub","Bac17","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac17","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"4565","Bac51",0,4.30706025435527,"Module hub","Bac51","Prokaryote","Bacteria","Acidobacteria","Chloracidobacteria","ChloracidobacteriaCL","ChloracidobacteriaCL","ChloracidobacteriaCL","_","Bac51","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"4571","Bac59",1.11022302462516e-16,2.76512554057593,"Module hub","Bac59","Prokaryote","Bacteria","Acidobacteria","Chloracidobacteria","ChloracidobacteriaCL","ChloracidobacteriaCL","ChloracidobacteriaCL","_","Bac59","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"4578","Bac70",0.0644444444444444,3.04547730671763,"Module hub","Bac70","Prokaryote","Bacteria","Acidobacteria","Chloracidobacteria","ChloracidobacteriaCL","ChloracidobacteriaCL","ChloracidobacteriaCL","_","Bac70","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"4638","Bac250",0,2.61063824604006,"Module hub","Bac250","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","AlphaproteobacteriaCL","AlphaproteobacteriaCL","AlphaproteobacteriaCL","_","Bac250","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"4655","Bac301",1.11022302462516e-16,3.04547730671763,"Module hub","Bac301","Prokaryote","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","VerrucomicrobialesOR","VerrucomicrobialesOR","_","Bac301","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"4656","Bac257",1.11022302462516e-16,3.22533146186667,"Module hub","Bac257","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Hyphomonadaceae","HyphomonadaceaeFA","_","Bac257","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"4699","Bac515",0.0540123456790124,3.88653260514272,"Module hub","Bac515","Prokaryote","Bacteria","Verrucomicrobia","Spartobacteria","Spartobacteriales","Spartobacteriaceae","Chthoniobacter","_","Bac515","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"4702","Bac442",0,2.61063824604006,"Module hub","Bac442","Prokaryote","Bacteria","Acidobacteria","AcidobacteriaPH","AcidobacteriaPH","Koribacteraceae","KoribacteraceaeFA","_","Bac442","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",2,9,"Bac-Bac","Drought period","Control","Control"
"5184","Bac12",0,3.28759452368544,"Module hub","Bac12","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Micrococcaceae","Arthrobacter","_","Bac12","Actinobacteria","Actinobacteria","Soil","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"5185","Bac17",0,2.83022944532149,"Module hub","Bac17","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac17","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"5187","Bac29",0,3.51627706286741,"Module hub","Bac29","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Balneimonas","_","Bac29","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"5188","Bac34",0,3.17325325409445,"Module hub","Bac34","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella","_","Bac34","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"5198","Bac64",0,2.68328157299975,"Module hub","Bac64","Prokaryote","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae","SolibacteraceaeFA","_","Bac64","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"5210","Bac89",0.408163265306122,3.83997010019224,"Module hub","Bac89","Prokaryote","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","VerrucomicrobialesOR","VerrucomicrobialesOR","_","Bac89","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"5222","Bac137",0.666666666666667,-0.514592976919117,"Connector","Bac137","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac137","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"5288","Bac426",0.165289256198347,3.65630250971755,"Module hub","Bac426","Prokaryote","Bacteria","Acidobacteria","Chloracidobacteria","ChloracidobacteriaCL","ChloracidobacteriaCL","ChloracidobacteriaCL","_","Bac426","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"5296","Bac376",0.158790170132325,4.32311704047154,"Module hub","Bac376","Prokaryote","Bacteria","Chlorobi","SM1B09","SM1B09CL","SM1B09CL","SM1B09CL","_","Bac376","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"5297","Bac419",0,3.05003545694768,"Module hub","Bac419","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","RickettsiaceaeFA","_","Bac419","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"5309","Bac442",0,3.18664540462778,"Module hub","Bac442","Prokaryote","Bacteria","Acidobacteria","AcidobacteriaPH","AcidobacteriaPH","Koribacteraceae","KoribacteraceaeFA","_","Bac442","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"5315","Bac512",0.0831758034026465,4.57773335717631,"Module hub","Bac512","Prokaryote","Bacteria","Bacteroidetes","BacteroidetesPH","BacteroidetesPH","BacteroidetesPH","BacteroidetesPH","_","Bac512","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"5325","Bac701",0.2112,4.12595961480732,"Module hub","Bac701","Prokaryote","Bacteria","Acidobacteria","RB25","RB25CL","RB25CL","RB25CL","_","Bac701","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"5587","Bac589",0.666666666666667,-0.603423872887352,"Connector","Bac589","Prokaryote","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","VerrucomicrobialesOR","VerrucomicrobialesOR","_","Bac589","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"Bac-Bac","Rewetting period","Control","Control"
"5817","Bac177",0.152777777777778,2.8750782417141,"Module hub","Bac177","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Balneimonas","_","Bac177","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac","Drought period","Drought","Drought"
"5966","Bac20",0,2.56127778179175,"Module hub","Bac20","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac20","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"5969","Bac22",0.0665873959571939,2.83107037987378,"Module hub","Bac22","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","BurkholderialesOR","BurkholderialesOR","_","Bac22","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"5970","Bac29",0,3.29962664753914,"Module hub","Bac29","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Balneimonas","_","Bac29","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"5971","Bac34",0,2.62261792023964,"Module hub","Bac34","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella","_","Bac34","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"5974","Bac35",0,3.29962664753914,"Module hub","Bac35","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","NocardioidaceaeFA","_","Bac35","Actinobacteria","Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"5982","Bac59",0,2.79690034058268,"Module hub","Bac59","Prokaryote","Bacteria","Acidobacteria","Chloracidobacteria","ChloracidobacteriaCL","ChloracidobacteriaCL","ChloracidobacteriaCL","_","Bac59","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"5985","Bac61",0,3.18679185965589,"Module hub","Bac61","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","NocardioidaceaeFA","_","Bac61","Actinobacteria","Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"5990","Bac68",0,3.9102407722019,"Module hub","Bac68","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Cytophaga","_","Bac68","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"5996","Bac86",0,3.59128623613279,"Module hub","Bac86","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac86","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"6032","Bac113",0.661157024793388,0.413742653932349,"Connector","Bac113","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","RhodocyclalesOR","RhodocyclalesOR","_","Bac113","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"6036","Bac148",0,2.56127778179175,"Module hub","Bac148","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Cytophaga","_","Bac148","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"6056","Bac257",0,2.76731433695459,"Module hub","Bac257","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Hyphomonadaceae","HyphomonadaceaeFA","_","Bac257","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"6074","Bac277",0,3.20243702007312,"Module hub","Bac277","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","RhodocyclalesOR","RhodocyclalesOR","_","Bac277","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"6087","Bac376",0.684444444444444,-0.278544444875119,"Connector","Bac376","Prokaryote","Bacteria","Chlorobi","SM1B09","SM1B09CL","SM1B09CL","SM1B09CL","_","Bac376","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"6144","Bac521",0.060546875,3.23575927699682,"Module hub","Bac521","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac521","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"6188","Bac885",0.144641683103222,2.87609500773422,"Module hub","Bac885","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophobacteraceae","SyntrophobacteraceaeFA","_","Bac885","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"6212","Bac975",0.653061224489796,1.15470053837925,"Connector","Bac975","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac975","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"6232","Bac1287",0,2.54975299539532,"Module hub","Bac1287","Prokaryote","Bacteria","Acidobacteria","AcidobacteriaPH","AcidobacteriaPH","AcidobacteriaPH","AcidobacteriaPH","_","Bac1287","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"6293","Bac589",0.666666666666667,NA,NA,"Bac589","Prokaryote","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","VerrucomicrobialesOR","VerrucomicrobialesOR","_","Bac589","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"6303","Bac2146",0.0525931336742147,3.9102407722019,"Module hub","Bac2146","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","_","_","Bac2146","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"6330","Bac1845",0,2.83623785004061,"Module hub","Bac1845","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","koll13","koll13OR","koll13OR","_","Bac1845","Actinobacteria","Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"6501","Bac1656",0.64,1.15470053837925,"Connector","Bac1656","Prokaryote","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","VerrucomicrobialesOR","VerrucomicrobialesOR","_","Bac1656","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"6507","Bac1828",0.64,0.58554004376912,"Connector","Bac1828","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac1828","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
"6510","Bac1859",0.625,-0.777836189392816,"Connector","Bac1859","Prokaryote","Bacteria","Elusimicrobia","ElusimicrobiaPH","ElusimicrobiaPH","ElusimicrobiaPH","ElusimicrobiaPH","_","Bac1859","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"Bac-Bac","Rewetting period","Drought","Rewetting"
